show_id,type,title,country,release_year,rating,listed_in,description
s5043,Movie,Quigley Down Under,Australia,1990,PG-13,Action & Adventure,"After traveling to Australia for a job, a sharpshooting cowboy becomes a target himself when he refuses an immoral assignment from a corrupt landowner."
s1070,Movie,Boyka: Undisputed,Bulgaria,2016,R,Action & Adventure,The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring.
s303,Movie,Acts of Violence,Canada,2018,R,Action & Adventure,"When his future sister-in-law is kidnapped by human traffickers, a military veteran joins forces with his brothers and a world-weary cop to rescue her."
s1082,Movie,Braven,Canada,2018,R,Action & Adventure,A logger defends himself and his family from a group of murderous drug traffickers who have hidden a stash of heroin in his hunting cabin.
s2540,Movie,Gridlocked,Canada,2015,R,Action & Adventure,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries."
s2868,Movie,Hunt to Kill,Canada,2010,R,Action & Adventure,U.S. Border Patrol agent and deadly hunter Jim Rhodes takes violent revenge when a group of desperate thieves kidnaps his daughter after a robbery.
s5784,Movie,Standoff,Canada,2015,R,Action & Adventure,"After witnessing an assassin's slaughter, a young girl holes up in a farmhouse with a suicidal vet, who must use wits and guts to fend off the killer."
s3928,Movie,Marauders,Canada,2016,R,Action & Adventure,A series of high-stakes thefts at banks owned by a manipulative millionaire sparks an FBI agent to suspect a sinister plan behind the deadly heists.
s6098,Movie,The Assignment,France,2016,R,Action & Adventure,A hitman has his body surgically altered into a woman's against his will. Now he has to track down the surgeon responsible and get his revenge.
s4895,Movie,Point Blank,France,2019,TV-MA,Action & Adventure,"To save his pregnant wife, an emergency room nurse unwillingly partners with an injured murder suspect in a race against time and renegade cops."
s2998,Movie,Inglourious Basterds,Germany,2009,R,Action & Adventure,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off."
s4478,Movie,Ninja Assassin,Germany,2009,R,Action & Adventure,"When his best friend is murdered by the shadowy Ozunu clan, Raizo, an orphan raised to be an assassin, vows revenge."
s3514,Movie,Lady Bloodfight,Hong Kong Area,2016,R,Action & Adventure,An American travels to Hong Kong in hopes of winning a lucrative – but potentially deadly – all-female underground fighting tournament.
s4825,Movie,Peppermint,Hong Kong Area,2018,R,Action & Adventure,"After her family is murdered, a mild-mannered mom remakes herself into a badass vigilante in order to exact violent justice."
s2663,Movie,Haywire,Ireland,2011,R,Action & Adventure,A last-minute mission in Dublin turns deadly for stunning secret operative Mallory Kane when she realizes she's been betrayed.
s90,Movie,24 Hours to Live,South Africa,2017,R,Action & Adventure,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself."
s5648,Movie,Skin Trade,Thailand,2014,R,Action & Adventure,A New Jersey detective whose family was killed by an international gangster teams up with a Bangkok cop on a quest to bring down a criminal empire.
s420,Movie,All the Devil's Men,United Kingdom,2018,R,Action & Adventure,A battle-scarred Special Ops military vet joins a CIA-funded assignment to take down a Russian terrorist and his trigger-happy comrades.
s635,Movie,Avengement,United Kingdom,2019,TV-MA,Action & Adventure,"Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer."
s2904,Movie,I Am Vengeance,United Kingdom,2018,R,Action & Adventure,"After learning that an ex-military friend and his parents were killed, the highly trained John Gold comes to town seeking answers and revenge."
s2905,Movie,I Am Vengeance: Retaliation,United Kingdom,2020,R,Action & Adventure,"To clear his criminal record, an ex-special forces soldier agrees to lead a team to retrieve a double-crossing mercenary and deliver him to justice."
s3710,Movie,London Heist,United Kingdom,2017,R,Action & Adventure,"After a heist gone wrong, a career criminal gradually uncovers the hidden motive behind his father's murder – and it has nothing to do with money."
s4709,Movie,Outlawed,United Kingdom,2018,TV-MA,Action & Adventure,"After a failed mission, an ex-Royal Marines Commando tries to overcome his demons while investigating the death of his ex-girlfriend's father."
s5011,Movie,Pusher,United Kingdom,2012,R,Action & Adventure,"In this remake of a 1996 Danish thriller, a drug pusher incurs his suppliers' wrath when he gets busted and is left without the money he owes."
s2183,Movie,First Kill,United Kingdom,2017,R,Action & Adventure,"A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime."
s1235,Movie,Casino Royale,United Kingdom,2006,PG-13,Action & Adventure,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table."
s3543,Movie,Last Knights,United Kingdom,2015,R,Action & Adventure,A nobleman who values his people's well-being over his emperor's edicts is killed. His knights vow revenge.
s1752,Movie,Die Another Day,United Kingdom,2002,PG-13,Action & Adventure,Pierce Brosnan's final outing as 007 finds James Bond facing off against a North Korean terrorist who's in league with a British diamond merchant.
s2466,Movie,GoldenEye,United Kingdom,1995,PG-13,Action & Adventure,"Pierce Brosnan takes his first turn as debonair secret agent James Bond, who investigates the destruction of a Russian satellite weapons base."
s5029,Movie,Quantum of Solace,United Kingdom,2008,PG-13,Action & Adventure,"Picking up an hour after the events of 2006's Casino Royale, this James Bond adventure finds 007 tracking a traitor who's infiltrated Britain's MI6."
s6282,Movie,The Debt Collector,United Kingdom,2018,TV-MA,Action & Adventure,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
s6475,Movie,The Hurricane Heist,United Kingdom,2018,PG-13,Action & Adventure,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.
s7016,Movie,The World Is Not Enough,United Kingdom,1999,PG-13,Action & Adventure,"Greed, revenge, world domination: It's all in a day's work for James Bond, who's on a mission to protect an oil heiress from a notorious terrorist."
s7143,Movie,Tomorrow Never Dies,United Kingdom,1997,PG-13,Action & Adventure,"Pierce Brosnan stars in this 007 installment, which teams the secret agent and a sexy Chinese superspy against a megalomaniacal media mogul."
s299,Movie,Act of Valor,United States,2012,R,Action & Adventure,An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell.
s455,Movie,American Assassin,United States,2017,R,Action & Adventure,"After grad student Mitch Rapp suffers a tragic loss during a terrorist attack, his single-minded thirst for vengeance catches the interest of the CIA."
s519,Movie,Angel Has Fallen,United States,2019,R,Action & Adventure,Secret Service agent Mike Banning is caught in the crossfire when he’s framed for a deadly attack on the president and forced to run for his life.
s765,Movie,Batman: The Killing Joke,United States,2016,R,Action & Adventure,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.
s905,Movie,Big Kill,United States,2018,R,Action & Adventure,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.
s963,Movie,Black Site Delta,United States,2017,TV-MA,Action & Adventure,"After discovering that their secret military prison is under attack by terrorists, a ragtag group of inmates does their best to neutralize the enemy."
s1605,Movie,Dante's Peak,United States,1997,PG-13,Action & Adventure,"When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives."
s1702,Movie,Den of Thieves,United States,2018,R,Action & Adventure,A highly skilled crew of bank robbers plotting a heist at the supposedly impenetrable Federal Reserve faces off against an elite unit of L.A. cops.
s2003,Movie,End of Watch,United States,2012,R,Action & Adventure,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence."
s2060,Movie,Executive Decision,United States,1996,R,Action & Adventure,"When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington, D.C., commandos use an experimental plane to try to stop them."
s2065,Movie,Exit Wounds,United States,2001,R,Action & Adventure,Maverick cop Orin Boyd joins forces with an unlikely ally in gangster Latrell Walker to take down a group of dirty Detroit cops.
s2072,Movie,Extraction,United States,2020,R,Action & Adventure,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.
s2622,Movie,Hard Kill,United States,2020,R,Action & Adventure,"When a billionaire hires a team of mercenaries for protection, they soon realize world-changing technology and his daughter’s life are also at stake."
s2718,Movie,Hickok,United States,2017,TV-MA,Action & Adventure,"While serving as the marshal of rowdy Abilene, Kansas, ""Wild Bill"" Hickok uses guns and gall to tidy up the lawless frontier town."
s2960,Movie,In a Valley of Violence,United States,2016,R,Action & Adventure,"After a quiet drifter is met with violence and bullying in a small town, he finds himself enmeshed in a vengeful struggle with the local marshal."
s3013,Movie,Inside Man: Most Wanted,United States,2019,R,Action & Adventure,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.
s3366,Movie,Kickboxer: Retaliation,United States,2017,R,Action & Adventure,"Sloan's vow to never return to Thailand is cut short when he's kidnapped and taken to a Thai prison, where he's forced to fight a 400-pound brute."
s3367,Movie,Kickboxer: Vengeance,United States,2016,TV-MA,Action & Adventure,"After a skilled fighter falls in the ring, his younger brother emerges from the shadows to train and get revenge against a brutal champion."
s3377,Movie,Kill Bill: Vol. 2,United States,2004,R,Action & Adventure,"The Bride has three left on her rampage list: Budd, Elle Driver and Bill himself. But when she arrives at Bill's house, she's in for a surprise."
s3382,Movie,Kill Ratio,United States,2016,TV-MA,Action & Adventure,"Posing as a telecom salesman at a business conference, a CIA agent fights to protect a fledgling Eastern European democracy from a military coup."
s4580,Movie,Officer Downe,United States,2016,R,Action & Adventure,Fallen Los Angeles police officer Terrence Downe finds new life as a secret weapon: a scientifically altered super-cop with unlimited lives.
s4608,Movie,Olympus Has Fallen,United States,2013,R,Action & Adventure,A disgraced Secret Service agent must come to the rescue when Korean terrorists descend on the White House and take the president hostage.
s4787,Movie,Passenger 57,United States,1992,R,Action & Adventure,Air marshal John Cutter must stop notorious terrorist Charles Rane from killing hostages on board a flight that should have delivered Rane to jail.
s4795,Movie,Patriot Games,United States,1992,R,Action & Adventure,CIA desk jockey Jack Ryan plunges into the heart of international terrorism after spoiling an assassination attempt on a British royal family member.
